,Company Name,Location,Link
80,Gide Loyrette Nouel A.A.R.P.I.,Paris,https://www.legal500.com/firms/10224-gide-loyrette-nouel-aarpi/10248-paris-france/
81,Goodwin,Paris,https://www.legal500.com/firms/50382-goodwin/24066-paris-france/
82,Gowling WLG,Paris,https://www.legal500.com/firms/3617-gowling-wlg/19481-paris-france/
83,Grall & Associés,Paris,https://www.legal500.com/firms/13801-grall-associes/14655-paris-france/
84,Grenier Avocats,Paris,https://www.legal500.com/firms/17008-grenier-avocats/22650-paris-france/
85,HDV Avocats,Paris,https://www.legal500.com/firms/236548-hdv-avocats/235837-paris-france/
86,Herald Avocats,Paris,https://www.legal500.com/firms/11876-herald-avocats/12967-paris-france/
87,Hogan Lovells (Paris) LLP,Paris,https://www.legal500.com/firms/2116-hogan-lovells-paris-llp/12798-paris-france/
88,HPML,Paris,https://www.legal500.com/firms/12720-hpml/15790-paris-france/
89,Hughes Hubbard & Reed LLP,Paris,https://www.legal500.com/firms/50478-hughes-hubbard-reed-llp/19594-paris-france/
90,ITLAW Avocats,Paris,https://www.legal500.com/firms/14576-itlaw-avocats/19155-paris-france/
91,Jeantet,Paris,https://www.legal500.com/firms/10291-jeantet/10323-paris-france/
92,Joffe & Associés,Paris,https://www.legal500.com/firms/18151-joffe-associes/24685-paris-france/
93,Jones Day,Paris,https://www.legal500.com/firms/50505-jones-day/12099-paris-france/
94,Kalliopé,Paris,https://www.legal500.com/firms/15008-kalliope/20258-paris-france/
95,Karman Associés,PARIS,https://www.legal500.com/firms/18147-karman-associes/24676-paris-france/
96,Kennedys,Paris,https://www.legal500.com/firms/1908-kennedys/25135-paris-france/
97,Kiejman & Marembert,Paris,https://www.legal500.com/firms/21754-kiejman-marembert/21923-paris-france/
98,King & Spalding LLP,Paris,https://www.legal500.com/firms/50539-king-spalding-llp/19374-paris-france/
99,Lacourte Raquin Tatar,Paris,https://www.legal500.com/firms/13797-lacourte-raquin-tatar/14650-paris-france/
100,Lantourne & Associés,Paris,https://www.legal500.com/firms/16979-lantourne-associes/22606-paris-france/
101,Latham & Watkins,Paris,https://www.legal500.com/firms/50571-latham-watkins/10427-paris-france/
102,Latournerie Wolfrom Avocats,Paris,https://www.legal500.com/firms/20386-latournerie-wolfrom-avocats/20482-paris-france/
103,Lawways,Paris,https://www.legal500.com/firms/16697-lawways/21546-paris-france/
104,Le 16 Law,Paris,https://www.legal500.com/firms/232131-le-16-law/231994-paris-france/
105,LEXLOR,Paris,https://www.legal500.com/firms/16523-lexlor/21033-paris-france/
106,LL Berg,Paris,https://www.legal500.com/firms/14476-ll-berg/18903-paris-france/
107,Lmt Avocats,Paris,https://www.legal500.com/firms/20728-lmt-avocats/20826-paris-france/
108,LPA-CGR avocats,Paris,https://www.legal500.com/firms/11627-lpa-cgr-avocats/12551-paris-france/
109,Lusis Avocats,Paris,https://www.legal500.com/firms/232932-lusis-avocats/232727-paris-france/
110,Luzi Avocats,Paris,https://www.legal500.com/firms/18221-luzi-avocats/24775-paris-france/
111,Magenta,Paris,https://www.legal500.com/firms/14483-magenta/18924-paris-france/
112,Marsigny Gosset Avocats,Paris,https://www.legal500.com/firms/17478-marsigny-gosset-avocats/23327-paris-france/
113,M B A - Moisand Boutin & Associés,Paris,https://www.legal500.com/firms/10243-m-b-a-moisand-boutin-associes/10269-paris-france/
114,McDermott Will & Emery AARPI,Paris,https://www.legal500.com/firms/50652-mcdermott-will-emery-aarpi/20246-paris-france/
115,Meridian,Paris,https://www.legal500.com/firms/16980-meridian/22607-paris-france/
116,"Morgan, Lewis & Bockius LLP",Paris,https://www.legal500.com/firms/50696-morgan-lewis-bockius-llp/12716-paris-france/
117,Niddam-Drouas Avocats,Paris,https://www.legal500.com/firms/234674-niddam-drouas-avocats/234241-paris-france/
118,NMW Law,Paris,https://www.legal500.com/firms/12730-nmw-law/15804-paris-france/
119,NomoS,Paris,https://www.legal500.com/firms/21699-nomos/21866-paris-france/
120,Norton Rose Fulbright,Paris,https://www.legal500.com/firms/2511-norton-rose-fulbright/12743-paris-france/
121,Opleo Avocats,Paris,https://www.legal500.com/firms/17748-opleo-avocats/23707-paris-france/
122,Orrick Rambaud Martel,Paris,https://www.legal500.com/firms/50752-orrick-rambaud-martel/17165-paris-france/
123,Osborne Clarke,Paris,https://www.legal500.com/firms/2534-osborne-clarke/21943-paris-france/
124,Pamina Avocats,Paris,https://www.legal500.com/firms/232135-pamina-avocats/231998-paris-france/
125,PARME Avocats,Paris,https://www.legal500.com/firms/12966-parme-avocats/17459-paris-france/
126,Pech de Laclause Bathmanabane & Associés,Paris,https://www.legal500.com/firms/14475-pech-de-laclause-bathmanabane-associes/18902-paris-france/
127,Peltier Juvigny Marpeau & Associés,Paris,https://www.legal500.com/firms/16535-peltier-juvigny-marpeau-associes/21054-paris-france/
128,Petrel & Associés,Paris,https://www.legal500.com/firms/234678-petrel-associes/234245-paris-france/
129,Piotraut Giné Avocats (PGA),Paris,https://www.legal500.com/firms/17884-piotraut-gine-avocats-pga/23904-paris-france/
130,Preel Hecquet Payet-Godel PHPG Avocats,Paris,https://www.legal500.com/firms/14363-preel-hecquet-payet-godel-phpg-avocats/18694-paris-france/
131,Proskauer Rose LLP,Paris,https://www.legal500.com/firms/50804-proskauer-rose-llp/12725-paris-france/
132,Racine Océan Indien,Saint-Denis De La Reunion,https://www.legal500.com/firms/12017-racine-ocean-indien/21537-saint-denis-de-la-reunion-france/
133,Ravetto Associés,Paris,https://www.legal500.com/firms/15216-ravetto-associes/20570-paris-france/
134,Reinhart Marville Torre,Paris,https://www.legal500.com/firms/15618-reinhart-marville-torre/21409-paris-france/
135,Renault Thominette Vignaud & Reeve,Paris,https://www.legal500.com/firms/14772-renault-thominette-vignaud-reeve/19459-paris-france/
136,Rigaud Avocats,PARIS,https://www.legal500.com/firms/232137-rigaud-avocats/232000-paris-france/
137,Santarelli,Paris,https://www.legal500.com/firms/11338-santarelli/12669-paris-france/
138,Scotto Partners,Paris,https://www.legal500.com/firms/14798-scotto-partners/19516-paris-france/
139,SCP French Cornut-Gentille,Paris,https://www.legal500.com/firms/16294-scp-french-cornut-gentille/17266-paris-france/
140,Seattle Avocats,Paris,https://www.legal500.com/firms/232521-seattle-avocats/232360-paris-france/
141,Sekri Valentin Zerrouk,Paris,https://www.legal500.com/firms/13266-sekri-valentin-zerrouk/17984-paris-france/
142,Shearman & Sterling LLP,Paris,https://www.legal500.com/firms/50895-shearman-sterling-llp/12136-paris-france/
143,Signature Litigation AARPI,Paris,https://www.legal500.com/firms/3912-signature-litigation-aarpi/232002-paris-france/
144,Solferino Associés,Paris,https://www.legal500.com/firms/16700-solferino-associes/21550-paris-france/
145,Squire Patton Boggs,Paris,https://www.legal500.com/firms/50946-squire-patton-boggs/13749-paris-france/
146,Steering Legal,Paris,https://www.legal500.com/firms/18569-steering-legal/25228-paris-france/
147,Stephenson Harwood,Paris,https://www.legal500.com/firms/3164-stephenson-harwood/16751-paris-france/
148,Taliens,Paris,https://www.legal500.com/firms/18229-taliens/24787-paris-france/
149,Taylor Wessing,Paris,https://www.legal500.com/firms/3259-taylor-wessing/11196-paris-france/
150,Tirard Naudin Société d'Avocats,Paris,https://www.legal500.com/firms/20818-tirard-naudin-societe-davocats/20916-paris-france/
151,TNDA: Tuffal-Nerson Douarre & Associés,Paris,https://www.legal500.com/firms/16027-tnda-tuffal-nerson-douarre-associes/16771-paris-france/
152,Towery,Paris,https://www.legal500.com/firms/232942-towery/232734-paris-france/
153,UGGC Avocats,Paris,https://www.legal500.com/firms/11260-uggc-avocats/11975-paris-france/
154,Valoris Avocats,Strasbourg,https://www.legal500.com/firms/233602-valoris-avocats/233353-strasbourg-france/
155,VARET & PRÈS AVOCATS,Paris,https://www.legal500.com/firms/16526-varet-pres-avocats/21036-paris-france/
156,Veil Jourde,Paris,https://www.legal500.com/firms/13459-veil-jourde/14151-paris-france/
157,Velvet Avocats,Paris,https://www.legal500.com/firms/17970-velvet-avocats/24040-paris-france/
158,Viguié Schmidt & Associés,Paris,https://www.legal500.com/firms/10680-viguie-schmidt-associes/20679-paris-france/
159,Villechenon,Paris,https://www.legal500.com/firms/16956-villechenon/22035-paris-france/
160,Villey Girard Grolleaud,Paris,https://www.legal500.com/firms/16536-villey-girard-grolleaud/21055-paris-france/
161,Vivien & Associés,Paris,https://www.legal500.com/firms/11320-vivien-associes/12664-paris-france/
162,Vogel & Vogel,Paris,https://www.legal500.com/firms/11262-vogel-vogel/11980-paris-france/
163,VOLT Associés,Paris,https://www.legal500.com/firms/235864-volt-associes/235266-paris-france/
164,Walter Billet Avocats,Paris,https://www.legal500.com/firms/18400-walter-billet-avocats/25007-paris-france/
165,WAN Avocats,Paris,https://www.legal500.com/firms/11526-wan-avocats/12722-paris-france/
166,Watson Farley & Williams LLP,Paris,https://www.legal500.com/firms/3483-watson-farley-williams-llp/10991-paris-france/
167,Weil & Associés,Paris,https://www.legal500.com/firms/13160-weil-associes/17835-paris-france/
168,"Weil, Gotshal & Manges LLP",Paris,https://www.legal500.com/firms/51047-weil-gotshal-manges-llp/10566-paris-france/
169,White & Case LLP,Paris,https://www.legal500.com/firms/51054-white-case-llp/12146-paris-france/
170,Willkie Farr & Gallagher LLP,Paris,https://www.legal500.com/firms/51072-willkie-farr-gallagher-llp/10788-paris-france/
171,Winston & Strawn LLP,Paris,https://www.legal500.com/firms/51080-winston-strawn-llp/20651-paris-france/
172,Aklea,Lyon,https://www.legal500.com/firms/14505-aklea/18955-lyon-france/
173,Aklea,Paris,https://www.legal500.com/firms/14505-aklea/18954-paris-france/
174,Bignon Lebray,Aix-en-Provence,https://www.legal500.com/firms/10074-bignon-lebray/11087-aix-en-provence-france/
175,Bignon Lebray,Lille,https://www.legal500.com/firms/10074-bignon-lebray/11088-lille-france/
176,Bignon Lebray,Lyon,https://www.legal500.com/firms/10074-bignon-lebray/21509-lyon-france/
177,Bignon Lebray,Paris,https://www.legal500.com/firms/10074-bignon-lebray/10077-paris-france/
178,Bird & Bird,Lyon,https://www.legal500.com/firms/342-bird-bird/18119-lyon-france/
179,Bird & Bird,Paris,https://www.legal500.com/firms/342-bird-bird/12385-paris-france/
180,Cabinet Beau de Loménie,Lille,https://www.legal500.com/firms/11324-cabinet-beau-de-lomenie/17658-lille-france/
181,Cabinet Beau de Loménie,Lyon,https://www.legal500.com/firms/11324-cabinet-beau-de-lomenie/17657-lyon-france/
182,Cabinet Beau de Loménie,Marseille,https://www.legal500.com/firms/11324-cabinet-beau-de-lomenie/17660-marseille-france/
183,Cabinet Beau de Loménie,Paris,https://www.legal500.com/firms/11324-cabinet-beau-de-lomenie/12666-paris-france/
184,Carbonnier Lamaze Rasle & Associés,Lille,https://www.legal500.com/firms/20584-carbonnier-lamaze-rasle-associes/20184-lille-france/
185,Carbonnier Lamaze Rasle & Associés,Lyon,https://www.legal500.com/firms/20584-carbonnier-lamaze-rasle-associes/12835-lyon-france/
186,Casalonga,Beaune,https://www.legal500.com/firms/11364-casalonga/235781-beaune-france/
187,Casalonga,Grenoble,https://www.legal500.com/firms/11364-casalonga/235782-grenoble-france/
188,Casalonga,Lyon,https://www.legal500.com/firms/11364-casalonga/235784-lyon-france/
189,Casalonga,Montpellier,https://www.legal500.com/firms/11364-casalonga/235783-montpellier-france/
190,Casalonga,Paris,https://www.legal500.com/firms/11364-casalonga/12685-paris-france/
191,Casalonga,Toulouse,https://www.legal500.com/firms/11364-casalonga/23277-toulouse-france/
192,Chassany Watrelot & Associés (CWA),Lyon,https://www.legal500.com/firms/15200-chassany-watrelot-associes-cwa/20540-lyon-france/
193,Chassany Watrelot & Associés (CWA),Paris,https://www.legal500.com/firms/15200-chassany-watrelot-associes-cwa/20539-paris-france/
194,Chassany Watrelot & Associés (CWA),Sophia-Antipolis,https://www.legal500.com/firms/15200-chassany-watrelot-associes-cwa/233968-sophia-antipolis-france/
195,CMS,Paris,https://www.legal500.com/firms/557-cms/10233-paris-france/
196,CMS,Strasbourg,https://www.legal500.com/firms/557-cms/11833-strasbourg-france/
197,Cornet Vincent Ségurel,Bordeaux,https://www.legal500.com/firms/21231-cornet-vincent-segurel/23907-bordeaux-france/
198,Cornet Vincent Ségurel,Lille,https://www.legal500.com/firms/21231-cornet-vincent-segurel/20545-lille-france/
199,Cornet Vincent Ségurel,Lyon,https://www.legal500.com/firms/21231-cornet-vincent-segurel/24823-lyon-france/
200,Cornet Vincent Ségurel,Nantes,https://www.legal500.com/firms/21231-cornet-vincent-segurel/21333-nantes-france/
201,Cornet Vincent Ségurel,Paris,https://www.legal500.com/firms/21231-cornet-vincent-segurel/21334-paris-france/
202,Cornet Vincent Ségurel,Rennes,https://www.legal500.com/firms/21231-cornet-vincent-segurel/19470-rennes-france/
203,Delsol Avocats,Lyon,https://www.legal500.com/firms/10718-delsol-avocats/10965-lyon-france/
204,Delsol Avocats,Paris,https://www.legal500.com/firms/10718-delsol-avocats/15845-paris-france/
205,Dreyfus & associés,Lyon,https://www.legal500.com/firms/16707-dreyfus-associes/21572-lyon-france/
206,Dreyfus & associés,Paris,https://www.legal500.com/firms/16707-dreyfus-associes/21570-paris-france/
207,Dreyfus & associés,Strasbourg,https://www.legal500.com/firms/16707-dreyfus-associes/21571-strasbourg-france/
208,DS Avocats,Bordeaux,https://www.legal500.com/firms/10169-ds-avocats/20249-bordeaux-france/
209,DS Avocats,Lille,https://www.legal500.com/firms/10169-ds-avocats/21481-lille-france/
210,DS Avocats,Lyon,https://www.legal500.com/firms/10169-ds-avocats/16726-lyon-france/
211,DS Avocats,Paris,https://www.legal500.com/firms/10169-ds-avocats/10186-paris-france/
212,Fromont Briens,Lyon,https://www.legal500.com/firms/21401-fromont-briens/21535-lyon-france/
213,Fromont Briens,Paris,https://www.legal500.com/firms/21401-fromont-briens/17565-paris-france/
214,"KPMG Avocats, France",ANGERS,https://www.legal500.com/firms/234295-kpmg-avocats-france/234100-angers-france/
215,"KPMG Avocats, France",BORDEAUX,https://www.legal500.com/firms/234295-kpmg-avocats-france/234092-bordeaux-france/
216,"KPMG Avocats, France",BREST,https://www.legal500.com/firms/234295-kpmg-avocats-france/234081-brest-france/
217,"KPMG Avocats, France",CAEN,https://www.legal500.com/firms/234295-kpmg-avocats-france/234089-caen-france/
218,"KPMG Avocats, France",GRENOBLE,https://www.legal500.com/firms/234295-kpmg-avocats-france/234079-grenoble-france/
219,"KPMG Avocats, France",LA ROCHELLE,https://www.legal500.com/firms/234295-kpmg-avocats-france/234097-la-rochelle-france/
220,"KPMG Avocats, France",LILLE,https://www.legal500.com/firms/234295-kpmg-avocats-france/234080-lille-france/
221,"KPMG Avocats, France",LYON,https://www.legal500.com/firms/234295-kpmg-avocats-france/234095-lyon-france/
222,"KPMG Avocats, France",MARSEILLE,https://www.legal500.com/firms/234295-kpmg-avocats-france/234096-marseille-france/
223,"KPMG Avocats, France",METZ,https://www.legal500.com/firms/234295-kpmg-avocats-france/234085-metz-france/
224,"KPMG Avocats, France",MULHOUSE,https://www.legal500.com/firms/234295-kpmg-avocats-france/234088-mulhouse-france/
225,"KPMG Avocats, France",NANTES,https://www.legal500.com/firms/234295-kpmg-avocats-france/234083-nantes-france/
226,"KPMG Avocats, France",Orléans,https://www.legal500.com/firms/234295-kpmg-avocats-france/234101-orleans-france/
227,"KPMG Avocats, France",Paris,https://www.legal500.com/firms/234295-kpmg-avocats-france/233357-paris-france/
228,"KPMG Avocats, France",REIMS,https://www.legal500.com/firms/234295-kpmg-avocats-france/234084-reims-france/
229,"KPMG Avocats, France",RENNES,https://www.legal500.com/firms/234295-kpmg-avocats-france/234082-rennes-france/
230,"KPMG Avocats, France",ROUEN,https://www.legal500.com/firms/234295-kpmg-avocats-france/234090-rouen-france/
231,"KPMG Avocats, France",STRASBOURG,https://www.legal500.com/firms/234295-kpmg-avocats-france/234087-strasbourg-france/
232,"KPMG Avocats, France",TOULOUSE,https://www.legal500.com/firms/234295-kpmg-avocats-france/234094-toulouse-france/
233,"KPMG Avocats, France",TOURS,https://www.legal500.com/firms/234295-kpmg-avocats-france/234099-tours-france/
234,Laude Esquier Champey,Lyon,https://www.legal500.com/firms/14374-laude-esquier-champey/234369-lyon-france/
235,Laude Esquier Champey,Paris,https://www.legal500.com/firms/14374-laude-esquier-champey/18710-paris-france/
236,Plasseraud IP,Angoulême,https://www.legal500.com/firms/11325-plasseraud-ip/233905-angouleme-france/
237,Plasseraud IP,Bordeaux,https://www.legal500.com/firms/11325-plasseraud-ip/23706-bordeaux-france/
238,Plasseraud IP,Grenoble,https://www.legal500.com/firms/11325-plasseraud-ip/233906-grenoble-france/
239,Plasseraud IP,Lille,https://www.legal500.com/firms/11325-plasseraud-ip/23703-lille-france/
240,Plasseraud IP,Lyon,https://www.legal500.com/firms/11325-plasseraud-ip/23700-lyon-france/
241,Plasseraud IP,Paris,https://www.legal500.com/firms/11325-plasseraud-ip/12667-paris-france/
242,Plasseraud IP,Rennes,https://www.legal500.com/firms/11325-plasseraud-ip/233907-rennes-france/
243,Plasseraud IP,Toulouse-Ramonville,https://www.legal500.com/firms/11325-plasseraud-ip/23705-toulouse-ramonville-france/
244,Pradel Avocats,Angers,https://www.legal500.com/firms/15865-pradel-avocats/21551-angers-france/
245,Pradel Avocats,Paris,https://www.legal500.com/firms/15865-pradel-avocats/20685-paris-france/
246,Racine,Bordeaux,https://www.legal500.com/firms/12017-racine/20176-bordeaux-france/
247,Racine,Lyon,https://www.legal500.com/firms/12017-racine/20177-lyon-france/
248,Racine,Marseille,https://www.legal500.com/firms/12017-racine/20178-marseille-france/
249,Racine,Nantes,https://www.legal500.com/firms/12017-racine/20179-nantes-france/
250,Racine,Paris,https://www.legal500.com/firms/12017-racine/13221-paris-france/
251,Racine,Strasbourg,https://www.legal500.com/firms/12017-racine/21997-strasbourg-france/
252,Seban & Associés,Lyon,https://www.legal500.com/firms/14368-seban-associes/21039-lyon-france/
253,Seban & Associés,Paris,https://www.legal500.com/firms/14368-seban-associes/18704-paris-france/
254,Soulier Avocats,Lyon,https://www.legal500.com/firms/10528-soulier-avocats/10586-lyon-france/
255,Soulier Avocats,Paris,https://www.legal500.com/firms/10528-soulier-avocats/12137-paris-france/
256,Taj,Bordeaux,https://www.legal500.com/firms/10561-taj/21370-bordeaux-france/
257,Taj,Lille,https://www.legal500.com/firms/10561-taj/21764-lille-france/
258,Taj,Lyon,https://www.legal500.com/firms/10561-taj/21524-lyon-france/
259,Taj,Marseille,https://www.legal500.com/firms/10561-taj/21568-marseille-france/
260,Taj,Paris,https://www.legal500.com/firms/10561-taj/13229-paris-france/
